SalesOrderID	OrderDate	SalesOrderNumber	CustomerID
43736	9/6/2011	SO43736	11002
43737	10/6/2011	SO43737	13261
43738	10/6/2011	SO43738	11606
43739	10/6/2011	SO43739	13563
43740	10/6/2011	SO43740	16527
43741	11/6/2011	SO43741	27671
43742	11/6/2011	SO43742	13576
43743	11/6/2011	SO43743	11007
43744	11/6/2011	SO43744	16631
43745	12/6/2011	SO43745	16514
43746	12/6/2011	SO43746	16616
43747	13/6/2011	SO43747	27623
43748	13/6/2011	SO43748	27625
43749	13/6/2011	SO43749	27636
43750	13/6/2011	SO43750	11591
43751	13/6/2011	SO43751	11592
43752	13/6/2011	SO43752	13265
43753	13/6/2011	SO43753	16482
43754	14/6/2011	SO43754	27617
43755	14/6/2011	SO43755	27670
43756	14/6/2011	SO43756	19941
43757	14/6/2011	SO43757	11017
43758	15/6/2011	SO43758	27646
43759	15/6/2011	SO43759	13257
43760	15/6/2011	SO43760	16352
43761	15/6/2011	SO43761	16493
43762	16/6/2011	SO43762	27578
43763	16/6/2011	SO43763	16525
43764	16/6/2011	SO43764	16612
43765	16/6/2011	SO43765	11010
43766	17/6/2011	SO43766	16518
43767	17/6/2011	SO43767	11001
43768	18/6/2011	SO43768	27649
43769	18/6/2011	SO43769	21659
43770	18/6/2011	SO43770	27614
43771	18/6/2011	SO43771	14559
43772	18/6/2011	SO43772	16524
43773	18/6/2011	SO43773	16526
43774	18/6/2011	SO43774	16348
43775	18/6/2011	SO43775	11027
43776	19/6/2011	SO43776	13260
43777	19/6/2011	SO43777	16515
43778	19/6/2011	SO43778	11018
43779	19/6/2011	SO43779	25252
43780	20/6/2011	SO43780	11599
43781	20/6/2011	SO43781	16495
43782	20/6/2011	SO43782	16516
43783	20/6/2011	SO43783	16620
43784	21/6/2011	SO43784	27667
43785	21/6/2011	SO43785	11601
43786	21/6/2011	SO43786	11607
43787	21/6/2011	SO43787	29385
43788	21/6/2011	SO43788	11239
43789	21/6/2011	SO43789	25865
43790	21/6/2011	SO43790	25857
43791	21/6/2011	SO43791	16484
43792	21/6/2011	SO43792	16623
43793	21/6/2011	SO43793	11000
43794	21/6/2011	SO43794	11029
43795	22/6/2011	SO43795	27615
43796	22/6/2011	SO43796	17956
43797	22/6/2011	SO43797	16345
43798	22/6/2011	SO43798	16521
43799	22/6/2011	SO43799	16636
43800	23/6/2011	SO43800	21710
43801	23/6/2011	SO43801	13583
43802	23/6/2011	SO43802	11593
43803	24/6/2011	SO43803	21741
43804	24/6/2011	SO43804	13585
43805	24/6/2011	SO43805	14510
43806	24/6/2011	SO43806	16523
43807	25/6/2011	SO43807	11611
43808	25/6/2011	SO43808	13259
43809	25/6/2011	SO43809	16350
43810	25/6/2011	SO43810	11004
43811	25/6/2011	SO43811	11026
43812	26/6/2011	SO43812	27662
43813	26/6/2011	SO43813	28390
43814	26/6/2011	SO43814	25866
43815	26/6/2011	SO43815	16494
43816	26/6/2011	SO43816	16496
43817	26/6/2011	SO43817	16519
43818	26/6/2011	SO43818	16528
43819	26/6/2011	SO43819	11006
43820	27/6/2011	SO43820	27651
43821	27/6/2011	SO43821	27663
43822	27/6/2011	SO43822	27669
43823	27/6/2011	SO43823	19942
43824	27/6/2011	SO43824	14558
43825	27/6/2011	SO43825	16349
43826	27/6/2011	SO43826	11008
43827	27/6/2011	SO43827	25250
43828	28/6/2011	SO43828	27605
43829	28/6/2011	SO43829	27611
43830	28/6/2011	SO43830	16347
43831	28/6/2011	SO43831	11028
43832	28/6/2011	SO43832	13584
43833	29/6/2011	SO43833	21727
43834	29/6/2011	SO43834	28393
43835	29/6/2011	SO43835	19802
43836	29/6/2011	SO43836	26620
43837	29/6/2011	SO43837	11009
43838	30/6/2011	SO43838	27641
43839	30/6/2011	SO43839	27673
43840	30/6/2011	SO43840	17957
43841	30/6/2011	SO43841	13406
43842	30/6/2011	SO43842	16630
43843	1/7/2011	SO43843	29955
43844	1/7/2011	SO43844	29620
43845	1/7/2011	SO43845	29888
43846	1/7/2011	SO43846	29548
43847	1/7/2011	SO43847	29539
43848	1/7/2011	SO43848	29717
43849	1/7/2011	SO43849	29818
43850	1/7/2011	SO43850	29892
43851	1/7/2011	SO43851	29509
43852	1/7/2011	SO43852	29855
43853	1/7/2011	SO43853	29813
43854	1/7/2011	SO43854	29988
43855	1/7/2011	SO43855	29946
43856	1/7/2011	SO43856	29680
43857	1/7/2011	SO43857	30074
43858	1/7/2011	SO43858	29961
43859	1/7/2011	SO43859	29865
43860	1/7/2011	SO43860	29773
43861	1/7/2011	SO43861	29749
43862	1/7/2011	SO43862	29945
43863	1/7/2011	SO43863	29764
43864	1/7/2011	SO43864	30056
43865	1/7/2011	SO43865	30117
43866	1/7/2011	SO43866	29571
43867	1/7/2011	SO43867	29582
43868	1/7/2011	SO43868	30042
43869	1/7/2011	SO43869	30107
43870	1/7/2011	SO43870	29675
43871	1/7/2011	SO43871	30076
43872	1/7/2011	SO43872	30100
43873	1/7/2011	SO43873	29703
43874	1/7/2011	SO43874	29569
43875	1/7/2011	SO43875	29624
43876	1/7/2011	SO43876	30091
43877	1/7/2011	SO43877	29925
43878	1/7/2011	SO43878	29664
43879	1/7/2011	SO43879	29510
43880	1/7/2011	SO43880	29789
43881	1/7/2011	SO43881	30111
43882	1/7/2011	SO43882	29558
43883	1/7/2011	SO43883	29724
43884	1/7/2011	SO43884	29861
43885	1/7/2011	SO43885	29757
43886	1/7/2011	SO43886	29698
43887	1/7/2011	SO43887	29493
43888	1/7/2011	SO43888	29794
43889	1/7/2011	SO43889	29830
43890	1/7/2011	SO43890	29515
43891	1/7/2011	SO43891	29807
43892	1/7/2011	SO43892	29716
43893	1/7/2011	SO43893	29905
43894	1/7/2011	SO43894	30004
43895	1/7/2011	SO43895	29742
43896	1/7/2011	SO43896	29866
43897	1/7/2011	SO43897	29522
43898	1/7/2011	SO43898	29705
43899	1/7/2011	SO43899	29906
43900	1/7/2011	SO43900	29880
43901	1/7/2011	SO43901	29901
43902	1/7/2011	SO43902	29507
43903	1/7/2011	SO43903	29968
43904	1/7/2011	SO43904	30095
43905	1/7/2011	SO43905	29846
43906	1/7/2011	SO43906	29523
43907	1/7/2011	SO43907	29791
43908	1/7/2011	SO43908	29731
43909	1/7/2011	SO43909	29787
43910	1/7/2011	SO43910	29963
43911	1/7/2011	SO43911	29617
43912	1/7/2011	SO43912	29853
43913	1/7/2011	SO43913	29774
43914	1/7/2011	SO43914	29521
43915	1/7/2011	SO43915	29688
43916	1/7/2011	SO43916	29511
43917	1/7/2011	SO43917	29885
43918	1/7/2011	SO43918	22041
43919	1/7/2011	SO43919	12124
43920	1/7/2011	SO43920	28066
43921	1/7/2011	SO43921	16743
43922	1/7/2011	SO43922	13546
43923	2/7/2011	SO43923	28018
43924	2/7/2011	SO43924	12132
43925	2/7/2011	SO43925	16661
43926	3/7/2011	SO43926	11055
43927	3/7/2011	SO43927	16662
43928	3/7/2011	SO43928	16740
43929	3/7/2011	SO43929	25270
43930	4/7/2011	SO43930	28038
43931	4/7/2011	SO43931	13548
43932	4/7/2011	SO43932	16741
43933	4/7/2011	SO43933	11031
43934	4/7/2011	SO43934	11034
43935	5/7/2011	SO43935	20048
43936	5/7/2011	SO43936	28065
43937	5/7/2011	SO43937	17047
43938	5/7/2011	SO43938	16686
43939	5/7/2011	SO43939	16659
43940	5/7/2011	SO43940	25294
43941	6/7/2011	SO43941	13600
43942	6/7/2011	SO43942	17051
43943	6/7/2011	SO43943	14565
43944	6/7/2011	SO43944	11054
43945	6/7/2011	SO43945	16675
43946	6/7/2011	SO43946	16687
43947	6/7/2011	SO43947	16712
43948	6/7/2011	SO43948	11047
43949	7/7/2011	SO43949	27726
43950	7/7/2011	SO43950	28014
43951	7/7/2011	SO43951	16696
43952	7/7/2011	SO43952	16639
43953	8/7/2011	SO43953	20049
43954	8/7/2011	SO43954	13602
43955	8/7/2011	SO43955	13661
43956	8/7/2011	SO43956	11030
43957	9/7/2011	SO43957	28068
43958	9/7/2011	SO43958	16658
43959	9/7/2011	SO43959	11035
43960	9/7/2011	SO43960	11046
43961	10/7/2011	SO43961	28031
43962	10/7/2011	SO43962	28076
43963	10/7/2011	SO43963	16685
43964	10/7/2011	SO43964	16745
43965	10/7/2011	SO43965	11038
43966	10/7/2011	SO43966	11039
43967	11/7/2011	SO43967	28040
43968	11/7/2011	SO43968	28067
43969	11/7/2011	SO43969	28071
43970	11/7/2011	SO43970	16684
43971	11/7/2011	SO43971	16657
43972	12/7/2011	SO43972	21939
43973	12/7/2011	SO43973	28039
43974	12/7/2011	SO43974	13687
43975	12/7/2011	SO43975	13540
43976	12/7/2011	SO43976	28063
43977	12/7/2011	SO43977	16703
43978	13/7/2011	SO43978	28030
43979	13/7/2011	SO43979	14576
43980	13/7/2011	SO43980	11048
43981	13/7/2011	SO43981	16664
43982	13/7/2011	SO43982	25271
43983	14/7/2011	SO43983	28017
43984	14/7/2011	SO43984	13545
43985	14/7/2011	SO43985	13515
43986	14/7/2011	SO43986	28070
43987	15/7/2011	SO43987	28042
43988	15/7/2011	SO43988	11244
43989	15/7/2011	SO43989	28083
43990	15/7/2011	SO43990	25872
43991	15/7/2011	SO43991	16660
43992	15/7/2011	SO43992	16638
43993	17/7/2011	SO43993	16929
43994	18/7/2011	SO43994	27681
43995	18/7/2011	SO43995	21813
43996	18/7/2011	SO43996	27920
43997	18/7/2011	SO43997	28022
43998	18/7/2011	SO43998	11033
43999	18/7/2011	SO43999	28047
44000	19/7/2011	SO44000	27918
44001	19/7/2011	SO44001	28044
44002	19/7/2011	SO44002	14572
44003	19/7/2011	SO44003	19325
44004	19/7/2011	SO44004	28061
44005	19/7/2011	SO44005	26629
44006	19/7/2011	SO44006	16744
44007	19/7/2011	SO44007	25555
44008	20/7/2011	SO44008	27678
44009	20/7/2011	SO44009	27759
44010	20/7/2011	SO44010	13680
44011	20/7/2011	SO44011	13514
44012	20/7/2011	SO44012	11052
44013	20/7/2011	SO44013	16928
44014	21/7/2011	SO44014	27917
44015	21/7/2011	SO44015	13693
44016	21/7/2011	SO44016	11247
44017	21/7/2011	SO44017	28078
44018	21/7/2011	SO44018	25876
44019	21/7/2011	SO44019	16701
44020	21/7/2011	SO44020	16931
44021	21/7/2011	SO44021	11032
44022	22/7/2011	SO44022	22008
44023	22/7/2011	SO44023	19830
44024	22/7/2011	SO44024	16663
44025	22/7/2011	SO44025	16708
44026	22/7/2011	SO44026	17045
44027	23/7/2011	SO44027	21921
44028	23/7/2011	SO44028	17048
44029	23/7/2011	SO44029	11050
44030	24/7/2011	SO44030	12131
44031	24/7/2011	SO44031	13689
44032	24/7/2011	SO44032	11243
44033	24/7/2011	SO44033	16693
44034	24/7/2011	SO44034	16702
44035	24/7/2011	SO44035	16707
44036	24/7/2011	SO44036	17046
44037	24/7/2011	SO44037	25272
44038	24/7/2011	SO44038	25868
44039	25/7/2011	SO44039	17971
44040	25/7/2011	SO44040	11057
44041	25/7/2011	SO44041	16742
44042	26/7/2011	SO44042	13678
44043	26/7/2011	SO44043	13679
44044	26/7/2011	SO44044	13690
44045	26/7/2011	SO44045	28394
44046	26/7/2011	SO44046	28064
44047	26/7/2011	SO44047	25878
44048	26/7/2011	SO44048	16713
44049	27/7/2011	SO44049	13538
44050	27/7/2011	SO44050	17050
44051	28/7/2011	SO44051	13691
44052	28/7/2011	SO44052	16637
44053	29/7/2011	SO44053	19329
44054	29/7/2011	SO44054	13542
44055	29/7/2011	SO44055	13543
44056	29/7/2011	SO44056	13559
44057	29/7/2011	SO44057	14577
44058	29/7/2011	SO44058	11056
44059	29/7/2011	SO44059	16688
44060	29/7/2011	SO44060	25273
44061	30/7/2011	SO44061	27919
44062	30/7/2011	SO44062	28041
44063	30/7/2011	SO44063	11240
44064	30/7/2011	SO44064	22050
44065	30/7/2011	SO44065	28062
44066	30/7/2011	SO44066	25867
44067	30/7/2011	SO44067	17049
44068	31/7/2011	SO44068	13541
44069	31/7/2011	SO44069	28395
44070	31/7/2011	SO44070	19829
44071	31/7/2011	SO44071	16691
44072	31/7/2011	SO44072	16656
44073	31/7/2011	SO44073	11044
44074	1/8/2011	SO44074	29592
44075	1/8/2011	SO44075	29632
44076	1/8/2011	SO44076	30003
44077	1/8/2011	SO44077	29714
44078	1/8/2011	SO44078	29622
44079	1/8/2011	SO44079	29967
44080	1/8/2011	SO44080	29733
44081	1/8/2011	SO44081	29950
44082	1/8/2011	SO44082	29803
44083	1/8/2011	SO44083	29969
44084	1/8/2011	SO44084	29494
44085	1/8/2011	SO44085	29639
44086	1/8/2011	SO44086	29722
44087	1/8/2011	SO44087	29944
44088	1/8/2011	SO44088	29842
44089	1/8/2011	SO44089	29673
44090	1/8/2011	SO44090	29659
44091	1/8/2011	SO44091	29914
44092	1/8/2011	SO44092	30090
44093	1/8/2011	SO44093	29708
44094	1/8/2011	SO44094	29711
44095	1/8/2011	SO44095	29748
44096	1/8/2011	SO44096	29655
44097	1/8/2011	SO44097	29651
44098	1/8/2011	SO44098	29504
44099	1/8/2011	SO44099	29897
44100	1/8/2011	SO44100	29690
44101	1/8/2011	SO44101	29721
44102	1/8/2011	SO44102	29681
44103	1/8/2011	SO44103	29577
44104	1/8/2011	SO44104	29755
44105	1/8/2011	SO44105	29769
44106	1/8/2011	SO44106	30068
44107	1/8/2011	SO44107	30106
44108	1/8/2011	SO44108	29686
44109	1/8/2011	SO44109	29921
44110	1/8/2011	SO44110	29486
44111	1/8/2011	SO44111	29740
44112	1/8/2011	SO44112	29649
44113	1/8/2011	SO44113	29938
44114	1/8/2011	SO44114	29746
44115	1/8/2011	SO44115	29525
44116	1/8/2011	SO44116	29685
44117	1/8/2011	SO44117	29581
44118	1/8/2011	SO44118	29883
44119	1/8/2011	SO44119	29834
44120	1/8/2011	SO44120	29702
44121	1/8/2011	SO44121	29710
44122	1/8/2011	SO44122	29518
44123	1/8/2011	SO44123	29498
44124	1/8/2011	SO44124	29637
44125	1/8/2011	SO44125	29872
44126	1/8/2011	SO44126	29810
44127	1/8/2011	SO44127	29562
44128	1/8/2011	SO44128	30088
44129	1/8/2011	SO44129	29966
44130	1/8/2011	SO44130	29642
44131	1/8/2011	SO44131	29487
44132	1/8/2011	SO44132	29484
44133	1/8/2011	SO44133	29715
44134	1/8/2011	SO44134	13821
44135	1/8/2011	SO44135	28156
44136	1/8/2011	SO44136	22114
44137	1/8/2011	SO44137	17328
44138	2/8/2011	SO44138	13765
44139	2/8/2011	SO44139	13792
44140	2/8/2011	SO44140	12221
44141	2/8/2011	SO44141	13572
44142	2/8/2011	SO44142	22058
44143	2/8/2011	SO44143	28145
44144	2/8/2011	SO44144	17071
44145	2/8/2011	SO44145	17309
44146	2/8/2011	SO44146	17310
44147	2/8/2011	SO44147	17320
44148	3/8/2011	SO44148	28172
44149	3/8/2011	SO44149	17242
44150	3/8/2011	SO44150	17315
44151	3/8/2011	SO44151	25558
44152	4/8/2011	SO44152	11334
44153	4/8/2011	SO44153	28168
44154	4/8/2011	SO44154	28181
44155	4/8/2011	SO44155	28131
44156	4/8/2011	SO44156	25887
44157	4/8/2011	SO44157	17055
44158	5/8/2011	SO44158	13567
44159	5/8/2011	SO44159	28182
44160	5/8/2011	SO44160	28186
44161	6/8/2011	SO44161	13772
44162	6/8/2011	SO44162	28185
44163	6/8/2011	SO44163	28193
44164	6/8/2011	SO44164	28088
44165	6/8/2011	SO44165	17065
44166	6/8/2011	SO44166	14581
44167	6/8/2011	SO44167	17308
44168	7/8/2011	SO44168	12211
44169	7/8/2011	SO44169	28179
44170	7/8/2011	SO44170	28183
44171	7/8/2011	SO44171	28112
44172	7/8/2011	SO44172	14584
44173	8/8/2011	SO44173	13784
44174	8/8/2011	SO44174	17229
44175	8/8/2011	SO44175	17246
44176	9/8/2011	SO44176	12220
44177	9/8/2011	SO44177	11337
44178	9/8/2011	SO44178	28097
44179	9/8/2011	SO44179	25888
44180	9/8/2011	SO44180	11058
44181	9/8/2011	SO44181	17294
44182	9/8/2011	SO44182	17299
44183	10/8/2011	SO44183	28158
44184	10/8/2011	SO44184	17247
44185	10/8/2011	SO44185	17280
44186	12/8/2011	SO44186	25889
44187	12/8/2011	SO44187	17069
44188	13/8/2011	SO44188	20052
44189	13/8/2011	SO44189	20054
44190	13/8/2011	SO44190	11061
44191	13/8/2011	SO44191	17248
44192	14/8/2011	SO44192	13570
44193	14/8/2011	SO44193	28164
44194	14/8/2011	SO44194	17064
44195	14/8/2011	SO44195	17249
44196	14/8/2011	SO44196	17295
44197	15/8/2011	SO44197	28096
44198	15/8/2011	SO44198	28150
44199	15/8/2011	SO44199	17259
44200	15/8/2011	SO44200	17312
44201	16/8/2011	SO44201	12254
44202	16/8/2011	SO44202	28159
44203	16/8/2011	SO44203	28149
44204	16/8/2011	SO44204	14580
44205	16/8/2011	SO44205	17285
44206	17/8/2011	SO44206	11250
44207	17/8/2011	SO44207	28162
44208	17/8/2011	SO44208	25879
44209	17/8/2011	SO44209	17257
44210	18/8/2011	SO44210	13783
44211	18/8/2011	SO44211	28154
44212	18/8/2011	SO44212	28170
44213	18/8/2011	SO44213	17351
44214	18/8/2011	SO44214	17332
44215	19/8/2011	SO44215	28180
44216	19/8/2011	SO44216	13560
44217	19/8/2011	SO44217	28148
44218	19/8/2011	SO44218	22109
44219	19/8/2011	SO44219	14590
44220	19/8/2011	SO44220	11060
44221	19/8/2011	SO44221	17255
44222	19/8/2011	SO44222	17258
44223	20/8/2011	SO44223	13847
44224	20/8/2011	SO44224	28166
44225	21/8/2011	SO44225	20060
44226	21/8/2011	SO44226	12255
44227	21/8/2011	SO44227	28401
44228	21/8/2011	SO44228	11333
44229	21/8/2011	SO44229	25886
44230	21/8/2011	SO44230	17241
44231	21/8/2011	SO44231	17973
44232	21/8/2011	SO44232	17334
44233	22/8/2011	SO44233	13841
44234	22/8/2011	SO44234	28184
44235	22/8/2011	SO44235	22117
44236	22/8/2011	SO44236	28191
44237	22/8/2011	SO44237	17056
44238	22/8/2011	SO44238	17079
44239	23/8/2011	SO44239	12217
44240	23/8/2011	SO44240	13580
44241	23/8/2011	SO44241	28155
44242	23/8/2011	SO44242	28163
44243	23/8/2011	SO44243	17278
44244	23/8/2011	SO44244	17329
44245	23/8/2011	SO44245	25556
44246	24/8/2011	SO44246	12219
44247	24/8/2011	SO44247	17233
44248	24/8/2011	SO44248	17240
44249	25/8/2011	SO44249	13845
44250	25/8/2011	SO44250	28167
44251	25/8/2011	SO44251	28190
44252	26/8/2011	SO44252	13777
44253	26/8/2011	SO44253	28099
44254	26/8/2011	SO44254	28142
44255	26/8/2011	SO44255	14585
44256	26/8/2011	SO44256	17232
44257	27/8/2011	SO44257	12212
44258	27/8/2011	SO44258	13579
44259	27/8/2011	SO44259	28171
44260	27/8/2011	SO44260	28194
44261	27/8/2011	SO44261	22112
44262	27/8/2011	SO44262	20149
44263	27/8/2011	SO44263	17279
44264	27/8/2011	SO44264	17286
44265	27/8/2011	SO44265	25557
44266	27/8/2011	SO44266	25559
44267	28/8/2011	SO44267	19339
44268	28/8/2011	SO44268	13820
44269	29/8/2011	SO44269	14589
44270	30/8/2011	SO44270	13794
44271	30/8/2011	SO44271	13846
44272	30/8/2011	SO44272	12256
44273	30/8/2011	SO44273	28147
44274	30/8/2011	SO44274	28152
44275	30/8/2011	SO44275	17256
44276	30/8/2011	SO44276	17277
44277	30/8/2011	SO44277	17288
44278	30/8/2011	SO44278	17293
44279	30/8/2011	SO44279	17326
44280	31/8/2011	SO44280	29886
44281	31/8/2011	SO44281	29565
44282	31/8/2011	SO44282	29734
44283	31/8/2011	SO44283	29994
44284	31/8/2011	SO44284	29580
44285	31/8/2011	SO44285	29898
44286	31/8/2011	SO44286	30052
44287	31/8/2011	SO44287	29974
44288	31/8/2011	SO44288	29614
44289	31/8/2011	SO44289	29566
44290	31/8/2011	SO44290	29682
44291	31/8/2011	SO44291	29747
44292	31/8/2011	SO44292	29973
44293	31/8/2011	SO44293	29844
44294	31/8/2011	SO44294	30067
44295	31/8/2011	SO44295	29596
44296	31/8/2011	SO44296	29827
44297	31/8/2011	SO44297	29811
44298	31/8/2011	SO44298	29824
44299	31/8/2011	SO44299	29889
44300	31/8/2011	SO44300	29761
44301	31/8/2011	SO44301	29489
44302	31/8/2011	SO44302	29849
44303	31/8/2011	SO44303	30096
44304	31/8/2011	SO44304	29958
44305	31/8/2011	SO44305	29825
44306	31/8/2011	SO44306	29661
44307	31/8/2011	SO44307	29759
44308	31/8/2011	SO44308	29497
44309	31/8/2011	SO44309	29912
44310	31/8/2011	SO44310	30084
44311	31/8/2011	SO44311	29610
44312	31/8/2011	SO44312	29606
44313	31/8/2011	SO44313	29718
44314	31/8/2011	SO44314	29646
44315	31/8/2011	SO44315	29570
44316	31/8/2011	SO44316	29533
44317	31/8/2011	SO44317	29992
44318	31/8/2011	SO44318	29491
44319	31/8/2011	SO44319	29549
44320	31/8/2011	SO44320	14429
44321	31/8/2011	SO44321	28222
44322	31/8/2011	SO44322	17975
44323	31/8/2011	SO44323	11072
44324	1/9/2011	SO44324	12267
44325	1/9/2011	SO44325	11095
44326	1/9/2011	SO44326	17728
44327	2/9/2011	SO44327	28598
44328	2/9/2011	SO44328	17921
44329	2/9/2011	SO44329	17904
44330	2/9/2011	SO44330	28199
44331	3/9/2011	SO44331	28257
44332	3/9/2011	SO44332	17510
44333	4/9/2011	SO44333	11343
44334	4/9/2011	SO44334	28273
44335	4/9/2011	SO44335	20165
44336	4/9/2011	SO44336	25895
44337	4/9/2011	SO44337	11097
44338	4/9/2011	SO44338	18188
44339	4/9/2011	SO44339	18189
44340	4/9/2011	SO44340	17354
44341	5/9/2011	SO44341	25905
44342	5/9/2011	SO44342	14610
44343	5/9/2011	SO44343	17920
44344	6/9/2011	SO44344	14427
44345	6/9/2011	SO44345	28200
44346	6/9/2011	SO44346	14602
44347	6/9/2011	SO44347	17911
44348	7/9/2011	SO44348	14159
44349	7/9/2011	SO44349	28243
44350	7/9/2011	SO44350	28244
44351	7/9/2011	SO44351	28271
44352	7/9/2011	SO44352	28297
44353	7/9/2011	SO44353	14591
44354	7/9/2011	SO44354	14603
44355	7/9/2011	SO44355	11093
44356	7/9/2011	SO44356	11099
44357	7/9/2011	SO44357	17511
44358	7/9/2011	SO44358	17732
44359	8/9/2011	SO44359	14525
44360	8/9/2011	SO44360	14158
44361	8/9/2011	SO44361	13686
44362	8/9/2011	SO44362	28259
44363	8/9/2011	SO44363	28285
44364	8/9/2011	SO44364	11092
44365	8/9/2011	SO44365	17912
44366	8/9/2011	SO44366	17502
44367	8/9/2011	SO44367	25562
44368	9/9/2011	SO44368	14150
44369	9/9/2011	SO44369	28250
44370	9/9/2011	SO44370	18193
44371	9/9/2011	SO44371	17514
44372	9/9/2011	SO44372	17736
44373	10/9/2011	SO44373	13767
44374	10/9/2011	SO44374	14157
44375	10/9/2011	SO44375	14183
44376	10/9/2011	SO44376	29399
44377	10/9/2011	SO44377	28234
44378	10/9/2011	SO44378	25903
44379	10/9/2011	SO44379	11080
44380	10/9/2011	SO44380	17915
44381	11/9/2011	SO44381	14191
44382	11/9/2011	SO44382	11341
44383	11/9/2011	SO44383	28268
44384	11/9/2011	SO44384	28296
44385	11/9/2011	SO44385	28298
44386	11/9/2011	SO44386	28587
44387	11/9/2011	SO44387	11096
44388	11/9/2011	SO44388	17924
44389	11/9/2011	SO44389	17925
44390	11/9/2011	SO44390	17353
44391	11/9/2011	SO44391	17730
44392	11/9/2011	SO44392	17910
44393	12/9/2011	SO44393	29398
44394	12/9/2011	SO44394	28246
44395	12/9/2011	SO44395	28339
44396	12/9/2011	SO44396	25901
44397	12/9/2011	SO44397	14596
44398	12/9/2011	SO44398	17733
44399	13/9/2011	SO44399	28240
44400	13/9/2011	SO44400	28588
44401	13/9/2011	SO44401	17515
44402	14/9/2011	SO44402	13666
44403	14/9/2011	SO44403	19844
44404	15/9/2011	SO44404	28221
44405	15/9/2011	SO44405	28224
44406	15/9/2011	SO44406	28299
44407	15/9/2011	SO44407	11077
44408	15/9/2011	SO44408	11103
44409	15/9/2011	SO44409	25563
44410	16/9/2011	SO44410	28223
44411	16/9/2011	SO44411	28584
44412	16/9/2011	SO44412	11100
44413	17/9/2011	SO44413	13606
44414	17/9/2011	SO44414	28340
44415	17/9/2011	SO44415	28355
44416	17/9/2011	SO44416	11069
44417	17/9/2011	SO44417	17917
44418	17/9/2011	SO44418	17919
44419	17/9/2011	SO44419	17352
44420	17/9/2011	SO44420	17512
44421	18/9/2011	SO44421	13607
44422	18/9/2011	SO44422	19353
44423	18/9/2011	SO44423	28586
44424	18/9/2011	SO44424	17916
44425	18/9/2011	SO44425	17504
44426	19/9/2011	SO44426	13770
44427	19/9/2011	SO44427	14146
44428	19/9/2011	SO44428	28362
44429	19/9/2011	SO44429	28583
44430	19/9/2011	SO44430	17927
44431	19/9/2011	SO44431	17725
44432	20/9/2011	SO44432	14165
